,screen_name,name,text,followers_count,friends_count
27,overkilliz,Eliza,RT @bellabarretto_: nem lula nem bolsonaro pau no cu nos dois,290,251
28,izaela19,𝕴𝖟𝖆𝖊𝖑𝖆🥇,RT @nevesmarialuisa: vc n precisa gostar do lula kkk vc só precisa entender que literalmente QUALQUER PESSOA é melhor que o bolsonaro 🤪,54,154
29,ayremovel,Ayres,@JoelPinheiro85 JOEL NÃO ADIANTA CHORAR O LULA NÃO VAI LEGALIZAR A VENDA DE ÓRGÃOS,184,459
30,powermax_88,Kev Jen,"RT @Neymarzete_URSS: Foda-se o Lula, vou votar no Ciro dnv msm.",28,103
31,Pitbullingles,Zé Churchill,"RT @Rconstantino: ""Agora o país vai ficar dividido novamente... Os que odeiam Lula e os que odeiam Bolsonaro... Só um homem pode unir o paí…",9,48
32,higwrr,(H)igor 🏳️‍🌈,RT @alcrsk: lula mal voltou e eu ja achei 10 real na rua slc economia ta melhorando ja,154,180
33,raquelf83878815,raquelfagundes_001@hotmail.com@hotmail.com,"RT @Rconstantino: O jornalista ""liberal"" está afirmando que Bolsonaro é PIOR do que Lula, que o defensor de Fidel Castro e Maduro é mais de…",412,259
34,Sander59551657,SanderKaralhada,"RT @Pozzer_RP: De todo esse limão, podemos ver o Huck, Ciro Gomes, Felipe Neto desesperados. Perderam a vez.
O Bolsonaro levou água ao nord…",426,934
35,amaiscrack,👁️,RT @cafecinho: @lwnzi mano eu acho mto incrível as pessoas realmente acharem inteligente comparar o bolsonaro com o lula. O BOLSONARO TÁ TE…,165,407
36,guilhrme05,guilherme,RT @oednaldopereira: Presidente  Lula  fã  de imitação  Ednaldo Pereira https://t.co/xBZvtWwcN6,34,154
37,wdsjg,Wdsjg,"RT @NetoItirussu: Processos que Lula responde por corrupção:

1-Tríplex Guarujá/Propina OAS
2-Instituto Lula/Propina Odebrecht
3-Sítio Atib…",182,263
38,Alyssonromeiro,ᴬˡʸˢˢᵒᶰ,"Lula foi solto por ter sido julgado injustamente pelo Moro (juíz federal), agora é a vez do Moro ser preso por deix… https://t.co/7lWqzUYKjQ",275,379
39,vmoraisxx,valen ッ,RT @nevesmarialuisa: vc n precisa gostar do lula kkk vc só precisa entender que literalmente QUALQUER PESSOA é melhor que o bolsonaro 🤪,5556,429
40,C4u_Cesar,Mr. Cesar 🇧🇷💉🐊,RT @sensacionalista: Lula prejudica a economia e derruba a bolsa https://t.co/4hY7tHVI2Z,59,319
41,mandxqq,amandita,RT @withmartinezz: a lua (lula) ta linda hj (ta de volta),40,51
42,livgmsf,Liv 🌿🤍,RT @mouIimrouge: com a noticia do lula ja estou planejando meu intercambio em 2023 pelo ciências sem fronteiras,165,209
43,AllanBiscaia,"Biscaia, the ℭreator","@thiagoxs9 @Paiao14 @lsdcomixxx Lula roubou mais que o Bolsonaro, a única diferença é que o Lula só fala merda fora das câmeras",244,1249
44,luroggia,Luiza Lisca Doida🚩🚩🚩,"@mgayardi @helenagober @letrapreta Sobre ex e atuais políticos, como Lula, Moro e muito mais, Paulo fala que votari… https://t.co/JEBbPqB3rM",1316,1271
45,vante_may,may,"RT @marcelorodjr: trabalhando pela primeira vez em anos. 
obrigado, presidente Lula!",2272,2323
46,dNHenrique_,Danylo,"RT @vitor_hbf: Lula é elegível.

Amo? Não.
Queria votar nele? Não.
Prefiro mil antes dele? Sim. 
PT é deplorável? Sim.
Votaria nele contra…",230,218
47,camilecsc,cahcahcah ➰,"RT @vitor_hbf: Lula é elegível.

Amo? Não.
Queria votar nele? Não.
Prefiro mil antes dele? Sim. 
PT é deplorável? Sim.
Votaria nele contra…",316,273
48,juliaroquefr,Julia,RT @ellislimaa: Falam q Lula é ladrão mas defendem WR com unhas e dentes... vai entender. É o bandido de estimação de vcs né? Rs,388,285
49,feelskj,✨,RT @ManiaRealitys: A Sarah quando sair do BBB e ver que o Lula é elegível https://t.co/pTpTI3rwRP,860,1119
50,_jeniffermota,Jeniffer Mota ♎,RT @alcrsk: lula mal voltou e eu ja achei 10 real na rua slc economia ta melhorando ja,8,14
51,danieltercino,Daniel Tercino,RT @sensacionalista: Lula prejudica a economia e derruba a bolsa https://t.co/4hY7tHVI2Z,681,1272
52,Jenicidade,Jeniffer com e de exu 🌚,Olha namoral eu não queria lula de novo não mas é surreal SURREAL que tentem botar TUDO NAS COSTAS DO CARA https://t.co/tODAfI2LJ8,421,221
53,ChaseRossatti,♨,RT @xicosa: Pegue manchetes d 1989 e as de hoje. São as mesmas. Risco Lula. Bolsa cai com Lula. Proteja seus investimentos etc etc. A banca…,1640,4073
54,alesiasrosa,Alesia Rosa,"RT @ILLEGALBODE: ""é sério q ces tão realmente considerando votar no lula? 🙄"" https://t.co/XmtXjN58ei",881,221
55,odeioarrobas,odeio arrobas,ontem fiquei pensando na seguinte cena: presidente lula e uma mulher que não quer flores e sim um pix entram num bu… https://t.co/ef8Cluxmwy,35,35
56,libdep,Faustão,"@Gabrielmg_teo77 Não, com a suspeição de Moro anularia tudo e Lula estaria elegível de qualquer maneira. Fachin qui… https://t.co/pBclSKZqSc",4762,772
57,ViniRezende,Vini Rezende,"RT @CascaGrossaReal: Lula não é dono do Triplex, Flavio Bolsonaro não fez rachadinha, STF não envergonha o Brasil e eu não tomo bomba.

Ess…",1615,1723
58,Nrmarzola,NrMarzola,"RT @PTnaCamara: ""Risco Lula"", uma invenção espúria da mídia e dos especuladores: Lula ganhou de todos os seus rivais, foi o melhor presiden…",256,189
59,RitterIria,Ana cheia de graça,"RT @Rembodinho: Foi só anularem os processos tornando o Lula elegível, que ressuscitaram até o risco Brasil, que estava falecido desde o go…",158,358
60,MarcusV36718833,Marcus aderbal,"RT @DCM_online: Lula tem potencial para remodelar o futuro do Brasil, diz New York Times após absolvição do ex-presidente https://t.co/TXiP…",64,158
61,GRS_Kdv,Gtx_Kdv,"RT @revistaoeste: 'Tem muita espuma nesse chope ainda', diz Mourão sobre Lula em 2022 https://t.co/fEnJbD6Sf8",34,134
62,Gamarall11,Gustavo Amaral,RT @opropriolavo: O Faquinha nunca passou de chefe de torcida do Lula.,38,98
63,ClaraGrazielly,Clara Grazielly,"RT @GlauberMaracaja: O plano acelerou, o STF solta Lula, com urnas inaudíveis, começam a forjar pesquisas com “empate técnico “ entre o “la…",675,2760
64,sorriapracamera,L.,"A tendência é que Moro seja condenado.
Com isso, todas as provas colhidas nos processos contra Lula que tramitaram… https://t.co/dC3a4wkuLF",559,431
65,xclarasc,clara,RT @crisprodrigues: O Lula mal virou elegível e já voltou a ser responsável por tudo de ruim que acontece: criou hoje a polarização; fez o…,28,135
66,jfelipebv,ⓟarmerista☭,"RT @direitasiqueira: RESOLVI SAIR DO BRASIL SE O LULA GANHAR!!! 😤

MAS DEPOIS EU LEMBREI QUE O DOLAR TÁ 6 REAIS E NENHUM PAÍS TÁ DEIXANDO B…",693,508
67,Rosebrz,Meire Abreu 💚💛,RT @oiIuiz: Confirmada a nova dupla que vai disputar as eleições 2022: chapa Lula-Smartmatic,5954,6035
68,lilpeepvaivolta,suicide bitch,RT @oednaldopereira: Presidente  Lula  fã  de imitação  Ednaldo Pereira https://t.co/xBZvtWwcN6,610,817
69,deberoso,vó coruja,RT @sensacionalista: Lula prejudica a economia e derruba a bolsa https://t.co/4hY7tHVI2Z,216,349
70,felicidadeEluta,#LUTAR!!! 🚩,"RT @DolarBipolar: Gente, o dólar até ontem estava R$2,00 beleza? Foi só o Lula ficar elegível que ele subiu pra R$5,88. Crescimento em V.",6707,6632
71,TestemunhaCiro,Testemunha de Ciro Gomes,RT @GomesCiro2022: Eu não acho justo Lula ser presidente pela terceira vez. Lula e PT fizeram uma oposição PORCA. PSOL e Ciro estiveram na…,489,812
72,itsLaGodoy,Little Tinker,"Meus pais tão em choque pq eu falei que não voto no bozo nem ferrando, dai eles soltaram um “isso quer dizer que vo… https://t.co/Os5siu8abs",640,520
73,senhordantas,ot,RT @sensacionalista: Lula prejudica a economia e derruba a bolsa https://t.co/4hY7tHVI2Z,472,295
74,thatsgoomes,Thaís,"RT @vereadorLucasC: ""Mas você votaria no Lula no segundo turno?""

Meu amigo, num segundo turno, contra o Bolsonaro eu votaria:

Lula
Haddad…",815,550
75,uaidenise,denise 🏳️‍🌈,"RT @vitor_hbf: Lula é elegível.

Amo? Não.
Queria votar nele? Não.
Prefiro mil antes dele? Sim. 
PT é deplorável? Sim.
Votaria nele contra…",53,81
76,JansonNegreiros,Janson Negreiros,"RT @requiaopmdb: A decisão de Fachin  em anular as condenações de Lula é tecnicamente perfeita, apenas um atraso de cinco anos. Vamos agora…",85,422
77,joaoluizubatuba,João Luiz,"RT @reinaldoazevedo: É vigarista e filocriminoso o raciocínio de que, com Lula elegível, Bolsonaro piora. P q? Com Lula inelegível, ele vin…",397,465
78,wonderbrie,S 🌈 🌋,"@EusouGabri quando vc discordar de lula, veja esta foto KKKKKKKKKKKKKKKKKKKKKKKKKKKKK",1916,1123
79,aabreumari177,vera magalhaes chorando no chao da sala,RT @sensacionalista: Lula prejudica a economia e derruba a bolsa https://t.co/4hY7tHVI2Z,248,227
80,vanteLaurbeyo,ju🦋,"RT @vitor_hbf: Lula é elegível.

Amo? Não.
Queria votar nele? Não.
Prefiro mil antes dele? Sim. 
PT é deplorável? Sim.
Votaria nele contra…",1299,1582
81,siyeonvocal,🍊 YOONGI DAY!,"RT @ILLEGALBODE: ""é sério q ces tão realmente considerando votar no lula? 🙄"" https://t.co/XmtXjN58ei",658,980
82,BradJordanStei1,Brad Jordan🙅🏼‍♂️,RT @angelo_melim: Quem ainda defende Luis Inácio Lula da Silva pós tudo que ocorreu nos últimos 15 anos ou é completamente cego ou capelinh…,382,729
83,sonserinapacto,rayane,uma guria x apareceu no meu ig e ela tá igual esse lula molusco https://t.co/viF8IqS25l,2073,1253
84,_esterfm,૯ઽƬ૯૨ˢᶜᶜᵖ,"RT @cesaramferreira: Lula prestes a ser considerado novamente ""a alma mais honesta desse país"". 

Imprensa e militância borbulhando de amor…",1301,2738
85,maurwil_,MAURICIO WILSON,"RT @atailon: 2023
Lula eleito 
Todo mundo vacinado
Bolsonaro preso 
Carnaval em Salvador 
Bloco da Pabllo Vittar 
A gente se beijando 
Inim…",370,783
86,ramon_mineiro,Ramon Mineiro,RT @xicosa: Pegue manchetes d 1989 e as de hoje. São as mesmas. Risco Lula. Bolsa cai com Lula. Proteja seus investimentos etc etc. A banca…,839,478
87,marinez_gazotto,Marinez Gazotto,"RT @Rconstantino: ""Agora o país vai ficar dividido novamente... Os que odeiam Lula e os que odeiam Bolsonaro... Só um homem pode unir o paí…",2333,3458
88,B38Bolsonaro,Bolsonaro B38,Lula ladrão corrupto pt quadrilha corrupto pt https://t.co/eYINnt6afo,4703,5174
89,CauaFantoniSkt,™️DOKA''),"RT @1beasca1: Mano que lula oq vamo vota na Marina Silva, ela quer liberar a maconha, legalizar aborto, se importa com o meio ambiente e é…",219,538
90,CiciCoe1,cicilha,"RT @caamila_sr: “Nem Bolsonaro nem Lula” 
vai apertar 17 de novo né vagabunda?!",2179,334
91,bubblwgumbitch,Бpyнa,"RT @oisacness: ""Mas cê acha que o Lula é o ideal?""

Então, se você precisa de um presidente IDEAL pra poder votar contra um genocida tem qu…",1398,579
92,alana_vsouza,lana,"Qnd vao entender q qualquer presidente q entrar vai roubar???? Lula só é mais julgado pq soltaram na mídia mesmo, m… https://t.co/LvG9uRLeJn",483,179
93,LandRossi,Clever Land Rossi,"RT @BolsonaroSP: Não há como ""desver"" os escândalos de corrupção durante os tempos de Lula na presidência. Limpar sua ficha só aumentará o…",132,186
94,lunardosena,LUNARDO SENA,"RT @heldermaldonado: ""Vou sair do Brasil se o Lula ganhar""

Amigo, você tá com cinco meses de aluguel atrasado na sua loja de capinha de ce…",65,90
95,paixoneti_,Caroline ᗢ,RT @nevesmarialuisa: vc n precisa gostar do lula kkk vc só precisa entender que literalmente QUALQUER PESSOA é melhor que o bolsonaro 🤪,912,489
96,arceniageralda,arcênia geralda,RT @Estadao: &gt;@ECantanhede: Lula de volta desvia o foco na pior hora da pandemia e do próprio Bolsonaro https://t.co/tzbdkBXg4p https://t.c…,55,297
97,ronaldgsn,R gomes 🌵,"RT @caamila_sr: “Nem Bolsonaro nem Lula” 
vai apertar 17 de novo né vagabunda?!",302,283
98,Flauros_M_M,Flauros M M,"RT @Velberan: Como conseguir boas eleições em 2022:

1 - Coloque Bolsonaro e Lula em um avião.

2 - Mande o avião para Urano.",261,545
99,acoracaodefogo,Sol,RT @crisprodrigues: O Lula mal virou elegível e já voltou a ser responsável por tudo de ruim que acontece: criou hoje a polarização; fez o…,6,62
100,munjzp,andré,"RT @LulaOficial: Em razão do julgamento da suspeição do ex-juiz Sérgio Moro para as 14h, a entrevista do ex-presidente Lula foi remarcada p…",327,534
101,eusouakenga,Tieta do Agreste,"Já que a moda agora é botar a culpa nos outros, é culpa do bolsonaro genocida que hoje só podemos depositar nossa e… https://t.co/sMxC6kZ982",24,148
102,christinassarah,🦀 ♋,RT @buarrocha: Entendo uma esquerda que ja nasceu caviar não ter referência no Lula. Não viu a geladeira chegando. Não viu o bairro mudando…,99,98
103,pcp_pt,PCP,✊ Uma decisão que confirma a evidente motivação política do processo da Lava-Jato e a sua articulação com o golpe d… https://t.co/MGR5JCbjV7,13614,8
104,marcolinosccp,matheus.,"RT @oezllei: o liberal ficou caladinho quando o Bolsonaro criou um ministério pro genro do Sílvio Santos

o liberal não deu um pio quando o…",1634,1559
105,luanorderos,Projócolis,RT @sensacionalista: Lula prejudica a economia e derruba a bolsa https://t.co/4hY7tHVI2Z,135,291
106,LudMunizzz,Pichula maluca,"RT @caamila_sr: “Nem Bolsonaro nem Lula” 
vai apertar 17 de novo né vagabunda?!",372,200
107,_planetario,Bia Effe,RT @glhrxm: lula voltou antes que a rihanna,265,598
108,sasalsichinha,sabrina ely,RT @sensacionalista: Lula prejudica a economia e derruba a bolsa https://t.co/4hY7tHVI2Z,169,251
109,zschzen,Leander,RT @sensacionalista: Lula prejudica a economia e derruba a bolsa https://t.co/4hY7tHVI2Z,250,706
110,hazeIyn,malu,RT @diwkgrayson: eu morro com as pessoas falando mal de petistas na tml pq só pelo off e por outros tweets vc já percebe que ela tem uma co…,3058,2324
111,menezes98biel,noia soft 🇾🇪,RT @alcrsk: lula mal voltou e eu ja achei 10 real na rua slc economia ta melhorando ja,1113,1069
112,marceloMAV2020,Mais Brasil Menos Brasília,"RT @L_Dornelles: O ministro do Supremo Tribunal Federal, Gilmar Mendes, acaba de pautar para hoje o julgamento da suspeição do ex-juiz e ex…",1286,2237
113,detoxquantico,Detox de Regeneron,"RT @CECLynch: Parece que a tal frente ampla só valia para os liberais com o Lula fora do páreo, mesmo que injustamente. A histeria está rol…",261,801
114,Combatente17,Combatente,"@diImabr Lula é bandido e fedeu o país. 
Você defende esse ladrão, só pq lucrava com a corrupção do pt. 
#Bolsonaro2022",935,731
115,CarlosR56075943,Carlos Reis,RT @BobjeffHD: Fachin foi o ministro que mais se irritou com o livro do General Villas-Boas em que fala sobre o famoso tuíte na época em qu…,1,142
116,sidoponte,Sido Rodrigues,@Estadao Tiauuu Bolsonaro... Peguei até raiva da cor verde e amarela por causa desse Bozo... Lula vermelhinho volte logo...,3505,3666
117,vladdico,Vladimir Oliveira,"RT @DCM_online: Santos Cruz tucanou: ressentido, general bate em Lula e em Bolsonaro https://t.co/X7U3oznwI7",862,620
118,haylabraz,Hayla Braz,"RT @DatenaOficial: Ciro Gomes teme que, após Lula, nomes como Antônio Palocci, Eduardo Cunha e Sérgio Cabral também tenham suas condenações…",716,1001
119,yfda89,Qse gamer,RT @sensacionalista: Lula prejudica a economia e derruba a bolsa https://t.co/4hY7tHVI2Z,30,102
120,crfEduarda_Lima,Duda,RT @nevesmarialuisa: vc n precisa gostar do lula kkk vc só precisa entender que literalmente QUALQUER PESSOA é melhor que o bolsonaro 🤪,284,188
121,Lecafa70,Leonardo C Faria,RT @Annedias_cr: Anular as condenações de Lula é dar atestado de idiota ao cidadão!!! Sem palavras... 🙄😒,1002,2058
122,wemzss,w,RT @ligiagrocha: Entre Bolsonaro x Lula eu prefiro que um meteoro caia nesse país.,21,118
123,GabyRibeir8,Macumbeira 💚🏹,RT @milasifz: estrear meu voto votando no lula q dlc 😋,495,462
124,youarecoringa,Bruninho,Olhe se você acha que Bolsonaro é igual a Lula depois desses anos de desgoverno desastroso vá pra os quintos dos in… https://t.co/oTEq74d60d,460,565
125,imbeatryzz,bia,RT @jujuicer: eu critico lula e petismo pros meus camaradas de esquerda. pra glr de direita eu sou lula desde criancinha.,322,207
126,mtessi21,Marcelo Tessi,"RT @leandroruschel: Agora, a ""Nova Esquerda"", os nossos ""liberais"" se colocaram numa posição de ter que defender essa esdrúxula canetada de…",51,128
127,Alepieroniberg,Ally Pieroni 🇧🇷,"RT @Rconstantino: ""Agora o país vai ficar dividido novamente... Os que odeiam Lula e os que odeiam Bolsonaro... Só um homem pode unir o paí…",1526,1560
128,liomessr,‎ؘ,"RT @vitor_hbf: Lula é elegível.

Amo? Não.
Queria votar nele? Não.
Prefiro mil antes dele? Sim. 
PT é deplorável? Sim.
Votaria nele contra…",17396,11324
129,getuliosantana,Getúlio Santana,RT @RedeTV: #OpiniaoNoAr: Desdobramentos da decisão do STF sobre processos de Lula na Lava Jato https://t.co/Y6rGLWO6cz,12788,13850
130,CarecaReaca,Gentile,"RT @BrazilFight: ROLANDO NAS REDES
""Se o Lula for preso dirigindo bêbado, o Supremo Tribunal Federal vai acabar com a Lei Seca.""",1315,1772
131,EmanuelConrado4,Emanuel Conrado,@gabrielzucchi Dilma tbm não tinha e foi eleita. Td bem que por causa do Lula. Mas penso no Meirelles como uma boa alternativa. Veremos...,81,657
132,gicasasp,Gisela,"RT @ivanildoiii: Lula e Bolsonaro é o tipo de batalha que não importa quem ganhar, nós perdemos.",216,774
133,socratesdlopes,Sócrates Lopes,"RT @erikakokay: E os 580 dias preso? 
E a injustiça contra Lula? 
E a eleição fraudada em 2018? 
E o Brasil governado por um genocida? 
E a…",292,405
134,lucassgoe,luc,"RT @rbcgaia: eu: o governo petista errou, deve-se fazer uma autocritica sobre vários momentos. conciliação de classe é o puro suco do neoli…",223,104
135,MarioFMJunior,Mário Júnior,"RT @VIOMUNDO: Que turma escrota comparando José Gomes Temporão com Pazuello, Fernando Haddad com Abraham Weintraub, Celso Amorim com Ernest…",662,1046
136,miihwth,Michelle.,RT @foIkcc: vou apertar 13 tão forte que o lula vai sentir a dedada lá no cu dele,6241,440
137,LMolez,Lucas Marin,RT @Fabricio_Rebelo: Equivocado achar que o dólar subiu e as bolsas caíram por se tratar de Lula. O problema é a insegurança jurídica reina…,172,456
138,forab0,FORAB0Z0,RT @UIndigest: Agora Lula e Bolsonaro já podem começar a fingir que são opositores?,69,84
139,vegildo,Leo VV ⚫️🔴,"RT @Vitricius: Aí vamo lá, o cara crítica o terraplanismo bolsonarista, chama o fiel séquito do bolso de gado e acredita piamente q o Lula…",140,417
140,Thereza12979987,Thereza,"RT @BobjeffHD: Para se ver como o PT aparelhou a Justiça. Daniel Silveira não roubou, mas fez duras críticas ao STF e foi preso. Já Lula ro…",420,599
141,Lukinhasbp17,luquinha,"RT @_anna1921: Odiar o Lula                  Odiar o Bolsonaro
                          🤝Eu",329,338
142,Lucas_pota,Bebê de terno,RT @wondermyy: Eu apoio Bolsonaro Vs Lula ao estilo Wakanda pra ver quem vai ser o presidente https://t.co/BDrcjnzgD0,41,77
143,WillamsRibeiro7,Carlitos,"RT @GuilhermePiton1: Alguns pastores estão assim:

100 mil mortes: 😴
200 mil mortes: 😴
250 mil mortes: 😴
Lula elegível: MEU DEUS! VERGONHA…",85,209
144,ianacom_i,Fernanda Iana é jornalista 🍎,RT @xicosa: Pegue manchetes d 1989 e as de hoje. São as mesmas. Risco Lula. Bolsa cai com Lula. Proteja seus investimentos etc etc. A banca…,64,368
145,Hellneiken,Frutífera,RT @sensacionalista: Lula prejudica a economia e derruba a bolsa https://t.co/4hY7tHVI2Z,655,339
146,eubrugon,bruna gonçalves,"RT @heldermaldonado: ""Vou sair do Brasil se o Lula ganhar""

Amigo, você tá com cinco meses de aluguel atrasado na sua loja de capinha de ce…",54,61
147,Edisonspbr,Edison Bassetto,"@bernardokuster2 Se Lula é inocente quem o mandou prender é criminoso.
Onde está a blindagem do juiz?
De fato a cor… https://t.co/gbdKTny18W",31,235
148,MarcosLMoreira,Marcos,RT @cianzeira: Tem liberal mais assombrado pela chance de candidatura do Lula do que pelas 260 mil mortes em um genocídio de negligência e…,560,375
149,SamuelSeabra4,Samuel Seabra,"RT @_anna1921: Odiar o Lula                  Odiar o Bolsonaro
                          🤝Eu",37,193
150,zerideia,desgracência parda,"RT @DouglasRdBarros: É importante que seja dito: sem Lula, o risco do conflito de classes virar guerra de classes é evidente. Já se está se…",294,769
151,namIyric,rmghotic aq.,RT @mouIimrouge: com a noticia do lula ja estou planejando meu intercambio em 2023 pelo ciências sem fronteiras,197,234
152,VovoDaColina,Vovô da Colina ✠ 🇧🇷🏴,"RT @direitasiqueira: RESOLVI SAIR DO BRASIL SE O LULA GANHAR!!! 😤

MAS DEPOIS EU LEMBREI QUE O DOLAR TÁ 6 REAIS E NENHUM PAÍS TÁ DEIXANDO B…",644,332
153,cleciavianna,Clecia Lula da Silva,"RT @LulaOficial: Em razão do julgamento da suspeição do ex-juiz Sérgio Moro para as 14h, a entrevista do ex-presidente Lula foi remarcada p…",526,734
154,PauloTorres57,Paulo Iran Miguel Torres 🇧🇷🇺🇲🇮🇱🇦🇷🇻🇪🇹🇼,"RT @marcelloneves72: Não tenho medo do Lula, tenho medo do sistema eleitoral.",3087,4997
155,crisxfd,Comunista safada 🚩,"RT @guiaoquadrado: O dólar tá subindo todo dia há quase 3 anos. 

A Globonews: decisão de Fachin sobre Lula leva a alta do dólar 

😂😂😂😂😂🤪🤪🤪…",974,979
156,arianeazeved,Ariane Azevedo,"Ontem foi uma gritaria no meu grupo de WhatsApp da família: LULA LIVRE e eu não sei quem fui que começou. 

Achei e… https://t.co/5tECDp2mJV",243,425
157,ROBERT0PEREIRA,Roberto Pereira.,"RT @Rconstantino: O jornalista ""liberal"" está afirmando que Bolsonaro é PIOR do que Lula, que o defensor de Fidel Castro e Maduro é mais de…",67,125
158,robsongfreire,☭ Robson Freire ☭,"RT @guimaraes13PT: Mobilização espontânea por Lula nas redes é algo histórico, aponta analista de dados https://t.co/MVhHZSvThr",5113,3354
159,thaynafarias09,Arianja 🙅,RT @NICOx2N: dia 8 de março dia internacional da mulher e do Lula,642,379
160,EloizaOliveiraa,loiza,RT @maluaires_: Entre Lula e Bolsonaro a melhor opção é vazar do país,397,388
161,lucasajs_,lucas,"@ivanildoiii os números do governo Lula foram os melhores do nosso país desde a redemocratização, os do Bolsonaro,… https://t.co/NOldRwdTkA",210,137
162,psYaN_,"Da Silva, Yan Henrique",RT @Leoni_a_jato: Lula é muito menos esquerda que Dória é direita. Mas ele é considerado radical. Nunca entendi essa mentira ser tão aceita…,99,784
163,n3kromantic,The Gaia Science,paredão falso do Lula &gt;&gt;&gt;&gt; paredão falso do bbb,163,138
164,WagSouza9,OCTA,RT @sensacionalista: Lula prejudica a economia e derruba a bolsa https://t.co/4hY7tHVI2Z,229,1195
